month,region,sales_quantity
01-01-2018,EMEA,274
01-02-2018,EMEA,211
01-03-2018,EMEA,253
01-04-2018,EMEA,362
01-05-2018,EMEA,317
01-06-2018,EMEA,451
01-07-2018,EMEA,679
01-08-2018,EMEA,613
01-09-2018,EMEA,719
01-10-2018,EMEA,633
01-11-2018,EMEA,386
01-12-2018,EMEA,266
01-01-2019,EMEA,513
01-02-2019,EMEA,439
01-03-2019,EMEA,564
01-04-2019,EMEA,739
01-05-2019,EMEA,753
01-06-2019,EMEA,1007
01-07-2019,EMEA,1460
01-08-2019,EMEA,998
01-09-2019,EMEA,1362
01-10-2019,EMEA,971
01-11-2019,EMEA,704
01-12-2019,EMEA,409
01-01-2020,EMEA,803
01-02-2020,EMEA,796
01-03-2020,EMEA,1247
01-04-2020,EMEA,1216
01-05-2020,EMEA,1294
01-06-2020,EMEA,2201
01-07-2020,EMEA,2230
01-08-2020,EMEA,2604
01-09-2020,EMEA,2136
01-10-2020,EMEA,1410
01-11-2020,EMEA,1103
01-12-2020,EMEA,712
01-01-2021,EMEA,1479
01-02-2021,EMEA,1356
01-03-2021,EMEA,1830
01-04-2021,EMEA,1936
01-05-2021,EMEA,2419
01-06-2021,EMEA,912
